1,1,Puka,turtle,2017-07-15,0.935066486193405
2,1,Gracy,dog,2015-03-04,9.33558979133739
3,1,Theo,bearded dragon,2020-02-24,0.432641182182783
4,2,Tyrone,canary,2015-05-01,0.018335691585123
5,3,Kitty,cat,2022-09-11,4.73254077920858
6,3,Ken,goldfish,2021-09-10,0.0829794900413675
7,5,Giacomo,turtle,2021-08-03,1.26202990279896
8,6,Whitey,axolotl,2018-10-19,0.094025642527357
9,6,Fitz,parakeet,2022-03-24,0.0384646937135474
10,7,Nikki,ball python,2020-04-14,1.35270402150377
11,7,Puka,axolotl,2022-06-25,0.0794811290560557
12,8,Venny,cat,2020-01-14,3.35116305042314
13,8,Momo,cockatiel,2022-01-15,0.102641891449465
14,8,Pesto,leopard gecko,2014-12-24,0.0764164000159617
15,9,Menke,axolotl,2021-08-09,0.152189855142798
16,9,Cassie,ferret,2017-09-27,1.53712686776456
17,9,Sherbert,canary,2021-01-17,0.0198110211326411
18,11,Cal,parrot,2019-12-16,0.385481456240911
19,12,Sunshine,cockatiel,2021-10-24,0.103814882115634
20,12,Sulley,parakeet,2019-11-15,0.0315941297730697
21,13,Ozlet,parrot,2016-08-15,0.501363218914657
22,13,Olive,tarantula,2017-08-19,0.0464106947054667
23,14,Porkie,axolotl,2019-07-14,0.124429346335876
24,16,Noah,turtle,2018-05-17,0.886630016117407
25,16,Alpha,cat,2019-07-18,3.00877347778932
26,16,Clary,leopard gecko,2015-07-09,0.0927317716642333
27,16,Vegas,hamster,2017-05-23,0.133919547449241
28,17,Lulah,ferret,2022-06-08,1.71085261276935
29,18,Tails,turtle,2017-10-30,1.11646131767596
30,18,Walty,goldfish,2019-04-11,0.0647461248755713
31,18,Luke,parrot,2016-07-20,0.38433338243041
32,20,Maja,canary,2017-07-08,0.0197436908373678
33,20,Mal,rabbit,2017-12-26,2.23128896621052
34,20,Cooper,frog,2014-12-08,0.0223326668800084
