1,Doctor of Veterinary Medicine (DVM)
1,Registered Veterinary Technician (RVT)
2,Doctor of Veterinary Medicine (DVM)
2,Registered Veterinary Technician (RVT)
3,Doctor of Veterinary Medicine (DVM)
3,Registered Veterinary Technician (RVT)
4,Doctor of Veterinary Medicine (DVM)
4,Registered Veterinary Technician (RVT)
5,Doctor of Veterinary Medicine (DVM)
6,Doctor of Veterinary Medicine (DVM)
7,Doctor of Veterinary Medicine (DVM)
8,Registered Veterinary Technician (RVT)
9,Board Certified Veterinary Dentist
9,Veterinary Technician Specialist in Dentistry
10,Board Certified Veterinary Dentist
10,Veterinary Technician Specialist in Dentistry
11,Board Certified Veterinary Dentist
12,Doctor of Veterinary Medicine (DVM)
12,Registered Veterinary Technician (RVT)
